word,frequency
back;,3
"Jerry:
",1
"""Witnesses.""
",1
"side?""
",2
"""Against.""
",1
"""Against",1
"prisoner's.""
",1
"direction,",5
"recalled
",2
steadily,7
"whose
",5
spin,1
"rope,
",1
grind,2
"axe,",4
hammer,3
"scaffold.
",2
"DISAPPOINTMENT
",1
MR.,2
ATTORNEY-GENERAL,1
inform,2
"jury,",6
"prisoner
",4
"treasonable
",1
practices,1
claimed,3
forfeit,3
life.,4
correspondence,2
"year,",6
"That,",23
"that,
",5
repassing,1
"England,
",2
account.,4
"That,
",2
nature,18
traitorous,1
thrive,1
(which,8
"happily
",1
wickedness,1
guilt,1
"might
",8
undiscovered.,1
"Providence,",1
"reproach,",1
ferret,1
"schemes,",1
"horror,",3
disclose,1
Majesty's,1
Secretary,1
honourable,4
Privy,1
Council.,1
patriot,10
"produced
",2
attitude,3
"whole,
",1
sublime.,1
auspicious,1
hour,34
detecting,1
"infamy,",1
resolved,9
immolate,1
cherish,1
"bosom,",5
altar,2
country.,6
statues,1
decreed,1
"Britain,
",1
Greece,1
"Rome,",3
"benefactors,",1
citizen,9
assuredly,2
"decreed,",1
"Virtue,",1
observed,36
poets,1
passages,7
"jury
",2
tips,1
tongues;,1
whereat,1
jury's,1
countenances,3
displayed,1
guilty,4
"knew
",9
"passages),",1
contagious;,1
virtue,4
"patriotism,",1
lofty,4
example,2
immaculate,1
unimpeachable,2
"Crown,",1
refer,5
"however
",1
unworthily,1
"honour,",4
"prisoner's
",3
holy,1
examine,5
master's,1
table-drawers,1
secrete,2
papers.,1
Attorney-General),1
"disparagement
",1
attempted,1
admirable,4
servant;,3
preferred,1
Attorney-General's),2
brothers,8
"sisters,
",1
confidence,12
likewise.,2
evidence,4
"witnesses,",2
coupled,1
documents,1
discovering,2
"produced,",2
lists,9
"Majesty's
",1
"forces,",1
disposition,3
"preparation,",1
conveyed,4
information,5
hostile,1
power.,2
handwriting;,1
same;,1
"prosecution,",2
artful,1
precautions.,1
proof,4
pernicious,1
"missions,",1
weeks,2
date,3
British,3
troops,1
Americans.,1
loyal,2
"were),",2
responsible,3
positively,2
not.,10
pillows;,3
tolerate,1
wives,3
notion,1
"be,
",2
"theirs,",1
pillows,1
"unless
",1
off.,7
"Attorney-General
",1
concluded,1
demanding,1
faith,4
"solemn
",1
asseveration,1
"dead
",3
buzz,3
blue-flies,3
swarming,2
"prisoner,",14
anticipation,1
become.,2
toned,1
"witness-box.
",1
Solicitor-General,1
following,10
leader's,1
"lead,",3
"examined
",1
patriot:,1
John,2
"Barsad,",10
"pure
",1
described,4
"be-
",1
"perhaps,",5
"fault,",1
exactly.,1
"released
",1
bosom,7
"burden,",1
modestly,4
"withdrawn
",1
questions.,4
"opposite,",1
spy,13
himself?,1
scorned,1
base,2
"insinuation.
",1
upon?,1
property.,1
Where,9
property?,2
"didn't
",1
precisely,3
anybody's.,1
inherited,2
had.,3
From,13
whom?,1
"Distant
",1
relation.,1
distant?,1
Rather.,1
Ever,9
prison?,2
Certainly,1
"not.
",2
Never,4
debtors',2
Didn't,1
prison?-,1
Never?,1
Yes.,8
times?,1
times.,4
six?,1
Perhaps.,2
profession?,1
Gentleman.,1
kicked?,1
Might,2
"been.
",3
Frequently?,1
No.,9
kicked,1
downstairs?,1
Decidedly,1
not;,3
kick,1
down-stairs,4
accord.,1
Kicked,1
cheating,2
dice?,1
effect,10
intoxicated,1
liar,1
"assault,",1
true.,3
Swear,2
true?,1
"Positively.
",1
play?,2
Never.,1
borrow,1
prisoner?,1
"pay
",1
him?,3
intimacy,1
slight,13
forced,5
"inns,",1
"packets?
",1
Sure,1
lists?,2
Certain.,1
Knew,1
procured,1
"instance?
",1
Expect,1
evidence?,1
"regular
",2
government,4
pay,8
traps?,1
Oh,4
Or,2
anything?,1
that?,2
"motives
",1
motives,2
sheer,1
patriotism?,1
None,1
"whatever.
",1
virtuous,2
Roger,4
"Cly,",4
swore,1
case,26
rate.,1
"faith
",1
"simplicity,",1
"aboard
",1
Calais,2
"packet,",2
handy,2
"fellow,",9
act,9
charity-,1
suspicions,3
"soon
",4
afterwards.,2
arranging,1
"seen
",9
desk.,2
first.,3
"these
",22
identical,1
Boulogne.,1
loved,6
"country,
",2
information.,2
stealing,2
silver,3
tea-pot;,1
"maligned
",1
respecting,3
"mustard-pot,",1
plated,1
"one.
",5
years;,2
"merely
",1
coincidence.,1
didn't,5
curious,10
"coincidence;
",1
coincidences,1
curious.,2
"curious
",2
coincidence,1
patriotism,1
motive,1
"Briton,",1
hoped,5
buzzed,1
"bank?""
",1
"am.""
",4
"""On",8
November,3
"hundred
",2
travel,2
"London
",1
"""Were",3
"""Two.""
",1
alight,2
"night?""
",4
"passengers?""
",2
undertake,5
"was.""
",3
"""Does",5
resemble,1
"""Both",1
Supposing,1
bulk,1
stature,1
render,5
unlikely,1
"swear,",1
"myself
",2
-timorous,1
"highwaymen,",1
timorous,1
"air.""
",1
counterfeit,1
"timidity,",1
"Lorry?""
",2
Have,9
"knowledge,",10
"before?""
",3
"have.""
",2
"""When?""
",1
returning,2
days,24
board,6
packet-ship,2
"returned,",4
voyage,1
"me.""
",23
"board?""
",1
"midnight.""
",1
untimely,2
"hour?""
",1
"'happening,'",1
"companion?""
",1
"""With",5
companions.,1
lady.,4
conversation,13
"prisoner?""
",6
"""Hardly",1
"stormy,",1
shore,1
"shore.""
",1
"arm.
",3
"prisoner.""
",2
confronted,4
earnest,7
"beauty,",4
accused,8
"confronted
",1
crowd.,3
"Standing,",1
"edge
",1
"grave,",3
curiosity,5
"could,",9
nerve,1
still.,1
parcelled,1
beds,2
flowers,3
garden;,1
efforts,4
breathing,5
"shook
",1
rushed,7
flies,4
"""Where?""
",2
"occasion.""
",2
"to?""
",2
"""O!",1
"unhappily,",1
"am!""
",1
plaintive,1
merged,1
"musical
",2
fiercely:,1
"""Answer",1
remark,4
"them.""
",4
"Channel?""
",1
"""Recall",1
"stillness,",3
faintly,3
"began:
",1
"""When",8
"board--""
",1
"prisoner?""",2
"brows.
",1
"Lord.""
",1
"board,",1
noticed,7
"father,""
",1
lovingly,3
"""was",1
fatigued,1
health.,3
reduced,4
deck,2
cabin,2
four.,2
beg,6
permission,3
shelter,3
"weather,
",2
harbour.,1
gentleness,1
kindness,1
"state,",5
beginning,7
"together.""
",1
"""Let",10
interrupt,1
"alone?""
",2
"him?""
",7
"""Two",3
"gentlemen.""
",1
"""Had",2
conferred,2
"together?""
",1
landed,2
"boat.""
",1
"lists?""
",1
"""Some",1
"papers.""
",2
"""Like",2
shape,5
"size?""
",1
"""Possibly,",1
"whispering
",1
me:,1
"conversation,",4
"Manette.""
",4
me-,6
helpless,2
situation-,1
repay,2
"doing
",2
harm,6
"to-day.""
",2
Buzzing,1
"blue-flies.
",1
understand,21
give-,3
giving-,1
"unwillingness,",1
"Please
",1
told,39
"nature,",3
"trouble,",3
"come.""
",2
"America,",1
Manette?,1
"particular.""
",1
quarrel,2
"arisen,",1
"judge,",1
foolish,3
England's,1
part.,2
jesting,1
"George
",3
Washington,2
gain,2
Third.,1
this:,1
"laughingly,",1
beguile,1
"time.""
",6
"chief
",1
actor,1
"directed,
",1
unconsciously,1
imitated,2
spectators.,2
painfully,1
instent,1
"evidence,",2
counsel,8
against.,1
Among,9
quarters,2
court;,2
"insomuch,",1
majority,2
"mirrors
",1
reflecting,1
"witness,",3
glare,2
heresy,1
"Washington.
",1
signified,2
"Lord,",3
deemed,2
"young
",7
Manette.,15
Who,14
"accordingly.
",1
"""Doctor",5
"""Once.",1
lodgings,2
"""Can",3
fellow-passenger,1
"neither.""
",1
unable,5
"either?""
",1
"""Has",3
misfortune,1
undergo,1
"imprisonment,",6
"trial,",4
"accusation,",1
"imprisonment.""
",1
newly,3
"question?""
",3
"occasion?""
",1
"""None.",2
"blank,",1
employed,5
"captivity,",2
"shoes,",9
"daughter
",3
familiar,5
gracious,8
restored,5
faculties;,2
"become
",3
familiar.,1
"process.""
",1
case.,2
"fellow-plotter
",1
"untracked,",1
"five
",4
"ago,",7
"blind,",3
"remain,",1
travelled,6
garrison,1
"dockyard,",1
"collected
",1
information;,1
precise,1
"required,",2
hotel,5
garrison-and-dockyard,1
person.,1
cross-examining,1
"result,",2
"occasion,",2
"ceiling
",1
wrote,10
piece,9
"paper,
",1
screwed,1
tossed,4
Opening,1
"prisoner.
",3
"sure.
",1
(the,9
"mistaken.
",1
"""Look",5
"there,""",4
"pointing
",4
"other?""
",2
Allowing,1
friend's,2
careless,5
slovenly,1
"debauched,",1
sufficiently,5
"surprise,",5
comparison.,1
bid,4
"consent,
",1
remarkable.,1
Stryver,34
"counsel),",1
try,6
Carton,49
(name,1
friend),1
treason?,1
"Stryver
",3
happen,6
twice;,1
confident,4
rashness,1
"sooner,",2
"confident,",1
upshot,1
smash,2
crockery,1
"vessel,",1
"lumber.
",1
lunch,1
evidence.,1
attend,5
"compact
",1
clothes;,1
"patriot,",1
hired,2
"spy
",4
"traitor,",1
unblushing,1
trafficker,1
"blood,",5
greatest,11
scoundrels,1
accursed,4
Judas-,1
like.,2
"partner,",1
be;,6
forgers,1
swearers,1
"victim,",2
family,12
"French
",1
"extraction,",1
require,2
Channel-,1
consideration,10
disclose.,1
warped,2
wrested,1
anguish,2
"witnessed,",1
involving,2
innocent,16
gallantries,1
politenesses,1
"lady
",2
thrown,17
together;-,1
exception,1
reference,6
"Washington,",1
altogether,4
extravagant,2
impossible,5
regarded,6
fight,3
monstrous,3
joke.,1
weakness,4
break,9
attempt,3
practise,1
popularity,1
antipathies,1
"fears,",2
"it;
",2
"how,",1
"nevertheless,",4
"infamous
",1
disfiguring,2
"cases,",2
Trials,1
country,10
full.,1
"Lord
",2
interposed,4
"true),",1
"saying
",1
sit,6
Bench,5
suffer,7
"allusions.
",1
"next
",3
clothes,8
out;,2
Barsad,8
Cly,6
"thought
",5
worse.,3
"Lastly,",1
decidedly,2
trimming,1
shaping,1
grave-clothes,1
"consider,",1
"swarmed
",1
"Carton,",41
changed,14
"excitement.
",1
"Stryver,",40
massing,1
"near,",2
anxiously,2
jury;,1
"less,",3
grouped,1
anew;,1
"arose
",2
paced,3
"platform,",1
unattended,1
minds,2
audience,3
feverish;,1
leaning,12
"torn
",1
gown,2
untidy,1
"removal,",2
reckless,2
"demeanour,",1
disreputable,1
"look,
",1
diminished,2
undoubtedly,2
"earnestness,",3
"compared
",1
"together,",21
"strengthened),",1
"lookers-on,",1
"taking
",1
alike.,1
observation,4
"neighbour,",2
"""I'd",2
guinea,2
law-work,1
"any,",1
"he?""
",7
"Yet,",8
Manette's,6
"audibly:
",1
"""Officer!",1
Help,2
"fall!""
",1
commiseration,2
"removed,",1
distress,4
imprisonment,2
recalled.,2
"shown
",1
agitation,2
"questioned,",2
"pondering
",1
"heavy
",1
"cloud,",1
paused,5
"foreman.
",1
"agreed,",2
retire.,1
(perhaps,2
mind),1
retire,3
"watch
",2
"ward,",1
retired,7
trial,6
lamps,5
lighted.,2
"rumoured
",1
while.,2
"refreshment,",1
"dock,
",1
"father
",5
"reappeared,",1
Jerry:,1
"who,",15
"slackened
",1
"""Jerry,",3
"eat,",1
can.,3
"keep
",3
verdict,1
bank.,2
quickest,1
"can.""
",1
"knuckle,",1
knuckled,2
acknowledgment,2
communication,4
shilling.,1
"lady?""
",2
distressed;,1
comforting,2
feels,2
"""I'll",10
"bank
",2
"publicly,",1
reddened,3
debated,1
bar.,1
"spikes.
",1
"Darnay!""
",2
"directly.
",2
"agitation.""
",1
sorry,10
Could,4
"tell
",3
fervent,5
"acknowledgments?""
",1
could.,2
Carton's,8
insolent.,1
lounging,1
"elbow
",2
Accept,1
cordial,1
"thanks.""
",1
"expect,",2
"Darnay?""
",3
"worst.""
",1
wisest,1
likeliest.,1
"think
",3
withdrawing,1
"favour.""
",1
Loitering,1
"allowed,",1
"heard
",5
more:,1
them-,3
"feature,",1
"unlike
",1
manner-,2
An,5
limped,1
"thief-and-rascal
",1
"below,",7
mutton,1
"pies
",1
ale.,1
hoarse,3
uncomfortably,1
"after
",6
"refection,",1
"doze,",1
murmur,5
rapid,4
stairs,3
led,11
"""Jerry!",1
"Jerry!""",2
"""Here,",2
sir!,3
throng.,1
"""Quick!",1
Hastily,1
"""AQUITTED.""
",1
"Life,'",1
"again,""",1
"muttered
",1
"meant,",1
opportunity,11
"saying,",4
"thinking,",2
"anything
",4
Bailey;,1
pouring,6
vehemence,1
swept,4
baffled,2
dispersing,1
"carrion.
",1
"CONGRATULATORY
",1
FROM,1
dimly-lighted,1
sediment,1
stew,1
boiling,4
straining,1
Lucie,58
solicitor,1
"defence,",1
Darnay-,2
released-,1
congratulating,1
"death.
",1
"recognise
",1
intellectual,1
upright,1
"bearing,",1
"twice,",3
mournful,1
cadence,1
"fitfully,
",1
reason.,4
external,2
"cause,",3
"agony,",2
always-,2
trial-,1
evoke,2
"also
",2
arise,4
incomprehensible,1
unacquainted,1
actual,3
Bastille,11
"summer
",1
"sun,",5
substance,2
charming,3
thread,4
united,4
Past,1
"beyond
",3
"misery,",5
Present,1
misery:,1
beneficial,2
influence,21
always.,1
absolutely,6
"always,
",2
recall,9
occasions,3
failed;,1
fervently,2
"gratefully,",1
warmly,2
thanked.,1
"was,
",4
"stout,",1
"loud,",3
"red,",4
"bluff,",1
free,13
drawback,1
"delicacy,",1
pushing,3
shouldering,5
(morally,1
physically),1
companies,1
"conversations,",1
argued,2
"shouldering
",2
squaring,4
client,1
group:,2
glad,5
Darnay.,8
"grossly
",1
infamous;,1
succeed,2
"account.""
",1
obligation,3
"senses,""",1
"client,",2
Darnay;,5
"man's,",1
"believe.""
",1
clearly,6
"""Much",3
"disinterestedly,",2
interested,6
squeezing,2
"so?""",2
Stryver.,6
ought,15
know.,6
"too.""
",3
"such,""",1
quoth,1
shouldered,5
"group,",2
previously,3
appeal,6
homes.,1
"are
",13
"out.""
",2
"Lorry,""",4
Stryver;,5
"night's
",1
yet.,4
Speak,2
"yourself.""
",2
"myself,""",3
"Darnay,",37
"Lucie,",31
and-,3
"all?""",1
"pointedly,",1
glance,8
"father.
",4
"frozen,",1
deepening,1
frown,3
dislike,1
"distrust,",2
unmixed,1
fear.,3
wandered,4
"father,""",6
"home,",16
"father?""
",4
acquitted,2
"dispersed,",2
impression-,1
originated-,1
extinguished,3
"passages,",2
gates,1
jar,2
"rattle,
",1
deserted,4
morning's,1
"interest
",1
"gallows,",1
"whipping-post,",1
"branding-iron,",1
"repeople
",1
Walking,3
hackney-coach,1
"called,",4
departed,4
shoulder,7
robing-room.,1
Another,7
"group,
",1
interchanged,1
"darkest,",1
"silently
",1
strolled,1
"drove
",1
away.,19
"pavement.
",1
Lorry!,1
Men,2
"now?""
",4
Nobody,3
"day's
",2
proceedings;,1
"unrobed,",1
"none
",1
"appearance.
",1
conflict,1
divided,3
good-natured,2
impulse,1
"appearances,",1
"amused,",1
"Darnay.""
",3
"reddened,",1
"warmly,",1
masters.,1
"ourselves.""
",2
rejoined,5
carelessly.,1
"nettled,",1
"doubt:
",1
"better,",2
dare,7
pursued,18
minding,1
"really
",1
you'll,4
excuse,3
"elder,",4
"business.""
",3
"""Business!",1
Bless,2
"Carton.
",11
"had,""",1
"""perhaps",1
"""Lord",1
no!-,1
"shouldn't,""",1
"sir!""",2
thoroughly,4
heated,3
"indifference,
",1
"""business",1
"And,
",1
imposes,1
restraints,1
silences,1
"impediments,",1
generosity,3
allowance,1
circumstance.,1
"God
",2
preserved,4
prosperous,4
life.-,1
Chair,1
"there!""
",2
Perhaps,3
angry,10
"barrister,",1
bustled,1
smelt,3
port,1
appear,4
"sober,",3
laughed,5
"Darnay:
",1
throws,1
"counterpart
",1
"stones?""
",1
seem,13
"yet,""",2
"again.""
",4
"far
",4
another.,8
"faintly.""
",1
"faint.""
",1
dine?,1
"dined,",1
numskulls,1
deliberating,1
to-,2
tavern,1
dine,3
"at.""
",1
Drawing,1
Ludgate-hill,1
tavern.,1
"Here,",4
shown,8
recruiting,2
strength,10
wine:,1
separate,6
"port
",1
fully,4
half-insolent,1
"feel,",3
terrestrial,1
scheme,2
"again,
",5
frightfully,3
regarding,4
place;,5
mended,3
"satisfaction!""
",1
"bitterly,",1
filled,12
bas,2
this-,3
alike,3
particular.,1
"Indeed,",5
"particular,",3
"I.""
",3
Confused,1
Double,1
coarse,8
"deportment,",1
"dream,",5
"Darnay
",5
loss,5
answer;,1
"finally,",3
"""Now",9
"done,""",1
presently,7
"""why",2
"health,",2
"toast?""
",2
health?,1
tip,1
tongue.,2
swear,7
"then!""
",5
Looking,6
companion,3
"toast,
",1
flung,3
"wall,",9
pieces;,1
rang,12
"bell,",4
ordered,6
"another.
",1
"Darnay!""",2
"goblet.
",1
laconic,1
"""Yes,""",8
"answer.
",2
pitied,2
by!,1
"How
",2
feel?,1
one's,3
Again,3
mightily,3
pleased,4
"pleased,",1
allusion,1
timely,3
reminder,3
strait,1
"point,",4
thanked,3
"thanks,",1
merit,1
"any,""",1
"careless
",2
rejoinder.,1
"know
",7
second.,3
"question.""
",2
return,14
"offices.""
",1
"""Really,",4
"Carton,""",4
oddly,1
"disconcerted,",1
"""I
",11
acted,7
do;,3
"do,""",5
Carton.,16
opinion,12
"understanding.""
",1
"""Nevertheless,""",1
ring,6
"""there",4
"reckoning,",1
parting,4
ill-blood,1
"rejoining,",1
"life!""",1
rang.,1
"reckoning?""",1
"affirmative,
",1
pint,2
wake,4
"ten.""
",1
bill,1
"paid,",1
"wish,",1
threat,1
defiance,2
Darnay:,1
"drunk?""
",1
"drinking,",4
"Carton.""
",3
"""Think?",1
"drinking.""
",2
"""Since",3
likewise,3
why.,1
disappointed,2
"drudge,
",1
"earth,",7
regretted.,1
used,19
talents,1
"better.""
",1
"""May",6
sober,2
"face
",8
elate,1
however;,2
"night!""
",4
surveyed,2
minutely,1
"man?""",1
"muttered,",3
"image;
",1
resembles,1
that.,11
"Ah,",2
confound,1
you!,4
"change
",2
yourself!,1
shows,1
"from,",1
been!,2
Change,3
commiserated,1
agitated,5
was?,1
Come,5
words!,1
hate,1
"fellow.""
",3
resorted,4
"consolation,",1
asleep,9
"straggling
",1
winding-sheet,1
candle,3
dripping,2
"JACKAL
",1
THOSE,1
WERE,1
hard.,1
improvement,2
Time,5
"habits,",2
moderate,3
statement,2
punch,6
swallow,3
detriment,1
reputation,4
perfect,7
"seem,",1
ridiculous,1
exaggeration.,1
profession,4
Bacchanalian,2
propensities;,1
"fast
",1
lucrative,1
"practice,",1
compeers,2
drier,1
legal,1
"race.
",2
favourite,2
eke,1
"Sessions,",1
begun,6
cautiously,4
hew,1
ladder,1
mounted.,1
Sessions,1
summon,4
"favourite,",1
"specially,",1
longing,1
arms;,4
visage,1
King's,5
"Bench,",1
florid,3
countenance,3
"wigs,",1
"sunflower
",1
rank,1
garden-full,1
"flaring
",1
noted,2
"glib
",1
"unscrupulous,",1
"ready,",6
"bold,",1
faculty,1
extracting,1
essence,1
"statements,",1
"advocate's
",1
accomplishments.,1
"got,",1
"grow
",2
pith,1
marrow;,1
however,3
carousing,1
Sydney,39
"fingers'
",1
ends,5
"morning.
",5
idlest,1
unpromising,1
"Stryver's
",1
ally.,1
Hilary,1
Term,1
"Michaelmas,",1
floated,3
ship.,1
"case
",1
"anywhere,",2
"Circuit,",1
prolonged,3
orgies,1
rumoured,2
"home
",2
stealthily,1
unsteadily,1
"lodgings,",1
dissipated,1
cat.,1
"At
",4
"matter,",5
"lion,",1
amazingly,1
"jackal,",3
humble,1
"capacity.
",1
"o'clock,",5
"tavern,",2
"""ten",1
mean?,2
Ten,1
sleep,9
dexterously,1
combated,1
stirring,1
continuously,1
revived,1
pacing,4
pavements,2
Bench-walk,1
"Paper-buildings,",1
"chambers.
",1
"conferences,",1
"gone
",3
principal,1
door.,8
"slippers
",1
"bed-gown,",1
"greater
",1
ease.,2
"strained,",2
seared,1
marking,1
livers,1
"class,",4
portrait,1
Jeffries,1
"downward,",1
"traced,",1
disguises,1
"Art,",2
portraits,1
Drinking,1
"Age.
",1
"late,",6
"Memory,""",2
"Stryver.
",5
"""About",1
"later.""
",1
dingy,3
lined,1
books,5
littered,1
blazing,4
kettle,1
"hob,
",1
wreck,1
"shone,",2
"plenty
",1
"brandy,",2
"rum,",1
"sugar,",1
"lemons.
",1
"perceive,",1
"Sydney.""
",2
"to-night,",11
dining,1
day's,7
client;,1
dine-,1
"one!""
",2
"""That",16
rare,1
"Sydney,",13
identification.,1
"luck.""
",1
precocious,1
"paunch.
",1
"luck,",1
Sydney!,1
"work.""
",3
Sullenly,1
jackal,10
loosened,1
adjoining,4
jug,2
"basin,
",1
towel,1
Steeping,1
towels,3
"partially
",1
wringing,2
"behold,",1
"ready!""
",1
"gaily,",1
"papers.
",1
"much?""
",3
"""Give",3
"first.""
",1
Sydney.,5
Fire,3
"away!""
",3
lion,5
sofa,3
"drinking-table,",1
paper-bestrewn,1
"bottles
",1
glasses,2
"drinking-table
",1
"stint,",2
different,9
way;,5
"part
",2
reclining,1
"waistband,",2
flirting,1
document;,1
brows,1
"task,",1
glass-,1
groped,2
"knotty,
",1
imperative,1
anew.,1
pilgrimages,1
"basin,",1
eccentricities,1
headgear,1
describe;,1
ludicrous,1
"gravity.
",1
compact,1
repast,2
"lion,
",1
offer,10
"caution,",1
selections,1
remarks,2
both.,2
"discussed,",1
"lion
",1
waistband,1
mediate.,1
invigorated,1
bumper,3
"throttle,",1
application,2
applied,1
"collection
",1
meal;,1
administered,2
clocks,3
fill,5
"punch,""",1
"steaming
",1
"yawned,",1
"shivered,",2
"complied.
",2
"witnesses
",1
"told.""
",1
"not?""
",15
gainsay,1
temper?,1
Put,3
deprecatory,1
"grunt,",1
Shrewsbury,2
"School,""",1
"Stryver,
",3
nodding,5
reviewed,1
"past,",5
seesaw,1
Up,2
next;,3
"despondency!""
",1
sighing:,1
"""yes!",1
exercises,1
"boys,",2
"did
",5
"own.""
",3
"""God",5
knows.,2
"suppose.""
",1
legs,3
"fire.
",3
"""Carton,""",1
"bullying
",1
fire-grate,1
furnace,1
"sustained
",1
endeavour,3
"forged,",1
School,2
"""your",1
energy,4
purpose.,2
"""Oh,",7
"botheration!""",1
good-humoured,1
"laugh,",2
"""don't",3
"moral!""
",1
"done?""",1
"""how",3
"do?""
",2
"""Partly",1
paying,1
suppose.,1
"worth
",3
apostrophise,1
"want
",2
front,9
"rank,",2
"always
",3
"behind.""
",1
rank;,1
born,5
"I?""
",1
ceremony;,1
"were,""
",1
"laughed.
",2
"""Before",2
"Shrewsbury,",2
"Shrewsbury,""
",1
"""you",20
"fallen
",1
mine.,6
fellow-students,1
Student-Quarter,1
"French,",3
"law,",3
crumbs,2
"somewhere,",1
"nowhere.""
",1
fault,3
"""Upon",2
yours.,3
driving,7
riving,1
repose.,1
talk,8
"past,
",1
breaking.,1
Turn,2
direction,5
"go.""
",4
"""Well",2
Pledge,1
"witness,""",2
"direction?""
",1
Apparently,1
"""Pretty",1
to-day,2
to-night;,3
who's,1
"pretty
",1
"witness?""
",1
picturesque,3
"pretty?""
",1
admiration,2
"Court!""
",1
"""Rot",1
Court!,1
beauty?,1
golden-haired,4
"doll!""
",1
"Sydney,""",2
"sharp
",1
sympathised,1
"doll,",2
"doll?""
",1
"""Quick",1
happened!,1
"girl,",2
doll,2
"swoons
",1
yard,3
perspective-glass.,1
pledge,1
deny,1
beauty.,1
"I'll
",2
drink;,3
"bed.""
",2
host,1
"stairs,",5
coldly,4
grimy,1
"sad,
",1
"overcast,",1
river,7
"dim,",2
lifeless,2
desert.,1
dust,10
spinning,1
"blast,",1
desert-sand,1
risen,5
spray,1
overwhelm,2
"city.
",2
Waste,1
"around,",5
"terrace,",1
"moment,
",2
wilderness,2
mirage,2
"ambition,
",1
"self-denial,",1
perseverance.,1
"vision,
",1
airy,2
galleries,1
loves,5
graces,2
gardens,1
fruits,4
"ripening,",1
waters,3
Hope,2
sparkled,3
sight.,2
gone.,4
"Climbing
",1
chamber,6
neglected,2
pillow,4
"tears.
",3
"Sadly,",1
"sadly,",1
rose;,1
sadder,1
abilities,1
"emotions,",1
incapable,5
"directed
",1
"happiness,",5
sensible,3
blight,2
resigning,1
HUNDREDS,1
"PEOPLE
",1
QUIET,1
LODGINGS,1
"street-corner
",1
Soho-square.,1
afternoon,7
"Sunday
",1
months,4
"treason,
",1
"memory,",1
sunny,5
Clerkenwell,1
"lived,",2
"Doctor.
",4
relapses,1
"business-absorption,",1
Doctor's,26
street-corner,1
"Sunday,",1
"Soho,",7
reasons,10
habit.,1
"Firstly,",1
"because,",2
"fine
",2
"Sundays,",3
Lucie;,2
"secondly,",1
unfavourable,1
"accustomed
",1
"talking,",3
"reading,",1
generally,3
"thirdly,",1
shrewd,5
doubts,3
"solve,",1
household,4
"likely
",1
solving,1
quainter,1
"windows
",1
commanded,3
vista,1
"street
",1
congenial,2
retirement,1
"buildings
",1
north,1
"Oxford-road,",1
forest-trees,1
"flourished,",1
wild,18
"grew,",1
hawthorn,1
"blossomed,",1
"vanished
",1
fields.,2
circulated,1
Soho,8
vigorous,2
"freedom,",1
"stray
",1
paupers,1
settlement;,1
south,2
"wall,
",2
peaches,1
ripened,1
"season.
",2
summer,10
brilliantly,2
"earlier
",1
"hot,",3
"shadow,",2
remote,4
brightness.,1
cool,5
"spot,",6
staid,2
"cheerful,
",1
"echoes,",7
harbour,1
"raging
",1
"streets.
",6
tranquil,2
bark,1
"anchorage,",1
floors,1
"house,
",2
callings,2
purported,1
"whereof
",1
audible,6
shunned,1
building,6
attainable,1
plane-tree,8
"leaves,",3
church-organs,1
"made,
",1
"chased,",1
gold,6
beaten,3
giant,2
starting,3
hall-,1
"precious,",1
menaced,1
conversion,1
visitors.,1
"trades,",1
lodger,1
"up-stairs,",4
"coach-trimming
",1
maker,1
asserted,2
counting-house,1
"seen.
",3
"Occasionally,",1
stray,1
"hall,
",1
peered,1
distant,9
clink,1
thump,1
giant.,1
"These,
",1
exceptions,1
prove,3
rule,1
sparrows,1
echoes,16
Sunday,8
"unto
",1
patients,3
"reputation,
",1
revival,2
floating,1
whispers,3
vigilance,1
"conducting
",1
ingenious,1
"experiments,",2
"request,
",1
earned,3
"wanted.
",2
"thoughts,",6
door-bell,1
"afternoon.
",1
"home?""
",3
Expected,2
"home.
",4
Pross,51
Possibly,2
certainty,2
handmaid,1
anticipate,2
intentions,2
"Pross,",62
admission,2
denial,2
"fact.
",1
"upstairs.""
",1
Although,2
"birth,",2
innately,1
derived,5
"most
",9
agreeable,5
characteristics.,1
Simple,1
"furniture
",1
"adornments,",1
value,2
"fancy,",5
delightful.,1
largest,1
least;,1
arrangement,5
"colours,",1
elegant,2
variety,4
"contrast
",1
thrift,1
"trifles,",1
sense;,2
"originator,",1
chairs,1
tables,1
"peculiar
",2
"approved?
",1
freely,3
smilingly,1
observant,3
"fanciful
",1
detected,3
around,12
Lucie's,4
"birds,
",2
"flowers,",2
"desk,",7
"work-table,",1
water-colours;,1
"consulting-room,",2
"used
",2
also,12
dining-room;,1
"third,",3
changingly,1
speckled,1
rustle,2
"yard,",2
disused,1
tray,2
"house
",4
Antoine,25
"Paris.
",5
"wonder,""",1
keeps,2
sufferings,2
"that?""",5
"start.
",1
"hand,
",4
acquaintance,1
"improved.
",1
"thought-""",1
"began.
",1
"""Pooh!",1
"thought!""",1
Pross;,5
"off.
",6
"do?""",2
then-,1
"sharply,",1
"malice.
",1
meekness;,1
boast,1
"of,""",3
"Pross.
",13
"""Indeed?""
",3
"indeed!""",2
Pross.,10
"Ladybird.""
",1
"'indeed,'",1
"you'll
",2
fidget,1
"death,""",2
Pross:,2
"(dissociated
",1
stature),1
"shortness.
",1
"then?""",4
"amendment.
",1
"enough,""",1
"""but",12
better.,6
"am
",8
"cause?""
",1
